measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,bcr_aai_Assets,npv_aai_Assets,ben_rp250_Assets,bcr_rp250_Assets,npv_rp250_Assets,cost_Assets,approv,feas
Beach nourishment,TCs,TC,0.70390625,0.9970621224255843,1.92578125,1.73828125,7558399331.635664,4.386962044700095,82226573580.03853,61008722070.60917,35.410003676201704,3743562516840.4385,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.70390625,1.012763541906627,2.72265625,1.92578125,6167881985.659578,3.5243924187761055,127002280017.45656,-0.0005693984435248197,-3.2536023910437837e-13,4166113243679.3438,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.70390625,1.012763541906627,3.98828125,1.38671875,6719973175.875961,3.8398631119242035,115312670885.83113,93572018523.20615,53.46803221260056,3864180874359.9688,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.70390625,1.012763541906627,3.98828125,1.92578125,4654372186.325313,2.6595570547209673,149738853612.53738,-0.0005693984435248197,-3.2536023910437837e-13,4166113243679.3438,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.70390625,1.0349701803553895,3.98828125,1.92578125,4654372186.325313,2.6024927807263634,149738853612.53738,-0.0005693984435248197,-3.1837920976408104e-13,4166113243679.3438,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.70390625,1.0931562830007113,2.53515625,3.44921875,3956811034.5281096,2.094687864988112,145692569230.66507,-0.0005693984435248197,-3.014326435067683e-13,4166113243679.3438,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.71171875,0.8704977593294185,1.99609375,3.35546875,4591762051.552122,3.052586496955877,118304563902.78644,79013772157.42639,52.52806466305851,3812040100893.238,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.71171875,0.9911761980550076,1.99609375,2.20703125,7175554974.707734,4.189487447480502,102864463323.42442,79013772157.42639,46.132627761674314,3812040100893.238,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.71171875,0.9911761980550076,1.99609375,3.35546875,4591762051.552122,2.6809256628374554,118304563902.78644,79013772157.42639,46.132627761674314,3812040100893.238,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.71171875,0.9911761980550076,3.07421875,3.35546875,3046237237.281946,1.7785624544198004,161149021029.1465,-0.00023719895679091574,-1.3848992245669296e-13,4189067632077.075,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.71953125,0.8658282158919746,1.73828125,1.43359375,9789868637.215706,6.5433686903965596,49478992256.28363,391710286242.4622,261.81197293717344,2875546435109.536,1728000000.0,2,0.15935113630024111
