measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,ben_aai_People,bcr_aai_Assets,bcr_aai_People,npv_aai_Assets,npv_aai_People,ben_rp250_Assets,ben_rp250_People,bcr_rp250_Assets,bcr_rp250_People,npv_rp250_Assets,npv_rp250_People,cost_Assets,cost_People,approv,feas
Flood Awareness,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,90381011.73865259,194387.8997040365,74.5317818769305,0.160300003967093,106099448.56276593,228194.49095691237,931686261.5052506,1925725.9353253967,768.3055974305404,1.5880303020002482,1093718654.8105116,2260634.7936428576,1165758.0,1165758.0,1,0.725631604663415
Flood Awareness,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,90399603.30601315,194449.306660105,74.54711322382087,0.16035064258871698,106121273.44618921,228266.57738360163,931686261.5052506,1925725.9353253967,768.3055974305404,1.5880303020002482,1093718654.8105116,2260634.7936428576,1165758.0,1165758.0,1,0.725631604663415
Flood Awareness,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,90583789.2553595,194740.36862912914,74.69900029321076,0.16059066388047574,106337491.73455238,228608.2588254995,931686261.5052506,1925725.9353253967,768.3055974305404,1.5880303020002482,1093718654.8105116,2260634.7936428576,1165758.0,1165758.0,1,0.725631604663415
Flood Awareness,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,90381011.73865259,194387.8997040365,70.41770437390751,0.15145160904820484,106099448.56276593,228194.49095691237,931686261.5052506,1925725.9353253967,725.8959207230256,1.5003726668941129,1093718654.8105116,2260634.7936428576,1165758.0,1165758.0,1,0.725631604663415
Flood Awareness,river_flood,RF,1.2,1.0,2.5,2.5,91519002.73252912,196606.5750954835,78.50600444734594,0.16865127676197247,107435351.03383838,230799.0229381764,947134330.6342144,1955656.3544885733,812.4622182598914,1.6775834731467192,1111853344.657556,2295770.5030952822,1165758.0,1165758.0,1,0.725631604663415
Flood Awareness,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,102528035.55222744,217693.03426619383,84.54870149213836,0.17951834609875547,120358998.25696266,255552.69239944496,1178855367.5686703,2404612.6419362198,972.1310862744134,1.9829393528536279,1383873692.3632212,2822806.144881652,1165758.0,1165758.0,1,0.725631604663415
Flood Awareness,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,102836154.37606266,218257.69899231434,80.12176206593826,0.17004906040897133,120720702.9632039,256215.55968663003,1178855367.5686703,2404612.6419362198,918.4704527659479,1.8734831453674738,1383873692.3632212,2822806.144881652,1165758.0,1165758.0,1,0.725631604663415
Flood Wall,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,114179783.69479196,250629.97099150377,14.873239259433108,0.03264745652440262,82300676.60662656,171952.4196694451,3.938463868729178e-07,3.6370464980971287e-10,5.130305342916278e-14,4.737674307430774e-17,2025404916.3157618,4186360.728968254,7380000.0,7380000.0,4,0.09250389102803236
Flood Wall,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,114220200.14557582,250763.46437426136,14.878503970252076,0.03266484558363057,82300676.60662654,171952.41966944528,3.938463868729178e-07,3.6370464980971287e-10,5.130305342916278e-14,4.737674307430774e-17,2025404916.3157618,4186360.728968254,7380000.0,7380000.0,4,0.09250389102803236
Flood Wall,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,114576513.89577928,251303.34117120627,14.924917963051081,0.03273517078929957,82344767.0941326,172045.28628342238,3.938463868729178e-07,3.6370464980971287e-10,5.130305342916278e-14,4.737674307430774e-17,2025404916.3157618,4186360.728968254,7380000.0,7380000.0,4,0.09250389102803236
Flood Wall,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,114179783.69479196,250629.97099150377,14.052251789479007,0.030845350590054357,82300676.60662656,171952.4196694451,3.938463868729178e-07,3.6370464980971287e-10,4.8471177783175645e-14,4.476159571112844e-17,2025404916.3157618,4186360.728968254,7380000.0,7380000.0,4,0.09250389102803236
Flood Wall,river_flood,RF,1.2,1.0,2.5,2.5,115308436.55322406,252815.27434810673,15.624449397455834,0.034256812242290886,83645917.21314344,174590.3236855532,3.938463868729178e-07,3.6370464980971287e-10,5.336671908847125e-14,4.928247287394484e-17,2058987675.29177,4251426.857583855,7380000.0,7380000.0,4,0.09250389102803236
Flood Wall,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,120231334.3637038,261729.97367881038,15.661523823274104,0.03409336043494043,102655699.44548629,211515.75298682842,-9.277395502244955e-08,0.0,-1.2084882152003207e-14,0.0,2562729059.9318914,5227418.786817872,7380000.0,7380000.0,4,0.09250389102803236
